HS6,China,Japan,Korea,Uae,Veitnam
70410,30.0,0.0,0.0,24.0,0.0
70420,30.0,0.0,0.0,0.0,0.0
70490,30.0,0.0,0.0,0.0,0.0
70511,30.0,0.0,0.0,0.0,0.0
70519,30.0,0.0,0.0,0.0,0.0
70521,30.0,0.0,0.0,0.0,0.0
70529,30.0,0.0,0.0,0.0,0.0
70610,30.0,0.0,0.0,24.0,0.0
70690,30.0,0.0,0.0,24.0,0.0
70700,30.0,0.0,0.0,24.0,0.0
70810,30.0,0.0,0.0,27.0,0.0
70820,30.0,0.0,0.0,27.0,0.0
70890,30.0,0.0,0.0,27.0,0.0
70920,30.0,0.0,0.0,0.0,0.0
70930,30.0,0.0,0.0,24.0,0.0
70940,30.0,0.0,0.0,0.0,0.0
70951,30.0,0.0,0.0,0.0,0.0
70952,30.0,0.0,0.0,0.0,0.0
70953,30.0,0.0,0.0,0.0,0.0
70954,30.0,0.0,0.0,0.0,0.0
70955,30.0,0.0,0.0,0.0,0.0
70956,30.0,0.0,0.0,0.0,0.0
70959,30.0,0.0,0.0,0.0,0.0
70960,30.0,0.0,0.0,27.0,0.0
70970,30.0,0.0,15.0,27.0,0.0
70991,30.0,0.0,0.0,0.0,0.0
70992,30.0,0.0,0.0,0.0,0.0
70993,30.0,0.0,0.0,0.0,0.0
70999,30.0,0.0,0.0,8.0,0.0
71010,30.0,0.0,0.0,27.0,0.0
71021,30.0,0.0,0.0,27.0,0.0
71022,30.0,0.0,0.0,27.0,0.0
71029,30.0,0.0,0.0,27.0,0.0
71030,30.0,0.0,0.0,24.0,0.0
71040,30.0,0.0,0.0,27.0,0.0
71080,30.0,0.0,0.0,27.0,0.0
71090,30.0,0.0,0.0,0.0,0.0
71120,30.0,0.0,0.0,0.0,0.0
71140,30.0,0.0,0.0,27.0,0.0
71151,30.0,0.0,0.0,27.0,0.0
71159,30.0,0.0,0.0,27.0,0.0
71190,30.0,0.0,0.0,27.0,0.0
71220,30.0,0.0,0.0,0.0,0.0
71231,30.0,0.0,0.0,24.0,0.0
71232,30.0,0.0,0.0,24.0,0.0
71233,30.0,0.0,0.0,24.0,0.0
71234,30.0,0.0,0.0,24.0,0.0
71239,30.0,0.0,0.0,24.0,0.0
